num_nodes,run_number,node,succ,pm_succ,avg,median,max,avg_nlt,median_nlt,max_nlt,sync_ints
40,1,fr2,935,0.999,75,77,158,2.353,2.422,1.247,120
40,1,dk,936,1.0,74,78,162,2.378,2.493,1.488,137
40,1,gr,936,1.0,77,75,215,2.529,2.458,1.286,133
40,1,am,935,0.999,82,78,137,2.742,2.6,1.645,146
40,1,rs,936,1.0,75,77,151,2.192,2.258,1.246,118
40,1,ch,935,0.999,67,68,104,2.595,2.652,1.331,158
40,1,az,935,0.999,80,79,124,2.68,2.633,1.608,162
40,1,no,935,0.999,82,89,125,2.023,2.197,1.366,118
40,1,ee,936,1.0,90,86,180,2.582,2.466,1.801,116
40,1,me,936,1.0,74,77,119,2.167,2.258,1.232,111
40,1,mt,936,1.0,73,69,132,1.948,1.831,1.049,102
40,1,fi,935,0.999,93,99,159,1.869,1.98,1.335,90
40,1,de1,935,0.999,69,72,117,2.693,2.808,1.727,167
40,1,hr,936,1.0,68,66,142,2.221,2.145,1.139,108
40,1,be,935,0.999,72,76,127,2.234,2.371,1.432,129
40,1,nl,936,1.0,66,68,138,2.754,2.821,1.659,173
40,1,pt,935,0.999,73,70,117,1.995,1.909,1.219,111
40,1,ro,935,0.999,73,76,135,2.215,2.316,1.211,112
40,1,lu,935,0.999,73,76,138,2.651,2.77,1.818,156
40,1,cy,932,0.996,70,75,104,2.613,2.786,1.407,153
40,1,bg,936,1.0,76,76,269,2.425,2.43,1.264,108
40,1,ie,936,1.0,75,78,127,1.947,2.015,1.256,108
40,1,at,936,1.0,65,66,160,2.866,2.87,1.308,165
40,1,es,936,1.0,74,77,114,2.006,2.085,1.234,115
40,1,lt,936,1.0,80,82,136,2.241,2.301,1.331,125
40,1,it,923,0.986,65,60,170,2.323,2.147,1.082,131
40,1,uk,935,0.999,65,68,107,2.257,2.347,1.308,136
40,1,pl,934,0.998,70,67,196,2.637,2.537,1.393,154
40,1,ua,935,0.999,69,74,116,2.131,2.272,1.157,119
40,1,si,935,0.999,68,67,134,2.213,2.177,1.135,128
40,1,hu,936,1.0,64,66,132,2.634,2.709,1.283,161
40,1,ge,936,1.0,71,76,104,2.515,2.695,1.419,158
40,1,tr,935,0.999,67,67,107,2.501,2.489,1.347,149
40,1,is,935,0.999,73,78,118,2.012,2.157,1.213,116
40,1,al,935,0.999,74,70,129,1.955,1.857,1.053,103
40,1,fr1,897,0.958,74,76,195,2.395,2.47,1.474,135
40,1,mk,936,1.0,73,76,179,2.285,2.39,1.211,120
40,1,md,935,0.999,90,90,218,2.114,2.114,1.285,89
40,1,se,928,0.991,87,90,206,2.159,2.236,1.449,110
40,1,by,935,0.999,78,79,152,2.17,2.185,1.307,119
40,2,mk,926,0.989,59,57,100,1.904,1.853,0.977,111
40,2,lu,926,0.989,57,57,127,2.117,2.117,1.425,108
40,2,bg,926,0.989,60,57,126,1.988,1.884,1.003,106
40,2,il,925,0.988,59,58,95,2.181,2.154,1.175,122
40,2,ch,927,0.99,54,55,82,2.117,2.145,1.086,116
40,2,am,923,0.986,61,59,109,2.078,2.018,1.215,102
40,2,ee,926,0.989,70,68,121,2.026,1.979,1.392,95
40,2,al,926,0.989,67,66,122,1.791,1.763,0.958,104
40,2,gr,926,0.989,58,57,120,1.961,1.916,0.972,127
40,2,hu,926,0.989,53,47,108,2.229,1.992,1.052,128
40,2,it,926,0.989,57,56,115,2.044,2.022,0.943,129
40,2,ua,926,0.989,60,58,114,1.907,1.839,1.003,109
40,2,de2,926,0.989,47,46,84,2.422,2.361,1.18,154
40,2,dk,926,0.989,62,66,106,2.001,2.127,1.242,122
40,2,hr,926,0.989,58,56,119,1.918,1.851,0.967,111
40,2,rs,926,0.989,63,59,116,1.886,1.77,1.048,100
40,2,pt,926,0.989,82,87,159,2.214,2.34,1.372,118
40,2,fi,926,0.989,84,87,175,1.698,1.749,1.207,92
40,2,ro,925,0.988,62,58,121,1.928,1.81,1.03,107
40,2,md,927,0.99,75,72,166,1.79,1.723,1.069,80
40,2,cz,926,0.989,55,50,120,2.173,1.97,1.103,129
40,2,lt,926,0.989,73,68,116,2.081,1.95,1.21,114
40,2,no,926,0.989,71,77,106,1.772,1.913,1.189,96
40,2,is,925,0.988,79,77,211,2.167,2.115,1.315,128
40,2,fr1,926,0.989,70,67,158,2.242,2.16,1.391,140
40,2,az,926,0.989,58,57,109,1.99,1.95,1.163,104
40,2,si,927,0.99,59,56,122,1.966,1.851,0.992,92
40,2,by,926,0.989,65,60,103,1.833,1.71,1.081,100
40,2,me,927,0.99,63,58,130,1.89,1.74,1.05,96
40,2,cy,546,0.583,59,57,104,2.183,2.117,1.176,71
40,2,nl,926,0.989,54,56,105,2.283,2.348,1.361,136
40,2,at,926,0.989,55,47,173,2.523,2.156,1.1,148
40,2,es,924,0.987,74,75,153,1.99,2.017,1.233,97
40,2,be,926,0.989,69,67,137,2.157,2.107,1.372,121
40,2,pl,926,0.989,54,49,97,2.104,1.911,1.079,119
40,2,se,926,0.989,74,77,158,1.853,1.925,1.235,110
40,2,ie,926,0.989,89,89,137,2.276,2.284,1.478,125
40,2,de1,926,0.989,55,56,109,2.194,2.229,1.378,113
40,2,fr2,926,0.989,62,58,175,1.95,1.824,1.033,110
40,2,sk,927,0.99,62,57,140,2.05,1.884,1.034,92
40,3,is,936,1.0,69,68,167,1.949,1.908,1.158,113
40,3,gr,936,1.0,62,58,158,2.07,1.933,1.035,126
40,3,de2,936,1.0,57,48,227,2.863,2.431,1.413,170
40,3,mk,936,1.0,64,60,140,2.036,1.918,1.07,114
40,3,be,936,1.0,62,59,113,1.956,1.871,1.233,125
40,3,es,936,1.0,69,67,135,1.892,1.84,1.148,124
