num_nodes,run_number,node,succ,pm_succ,avg,median,max,avg_nlt,median_nlt,max_nlt,sync_ints
5,1,AVG,96.0,1.0,118,115,219,3.16,3.11,2.62,29
5,2,AVG,96.0,1.0,85,77,166,3.72,3.38,3.08,26
5,3,AVG,96.0,1.0,106,94,254,3.56,3.16,2.54,30
5,4,AVG,96.0,1.0,113,97,268,3.94,3.35,3.15,35
5,5,AVG,96.0,1.0,101,86,243,3.91,3.35,3.12,31
5,6,AVG,96.0,1.0,107,105,248,3.87,3.84,2.84,31
5,7,AVG,96.0,1.0,162,151,346,3.6,3.34,3.02,29
5,8,AVG,96.0,1.0,93,84,199,3.72,3.36,3.1,31
5,9,AVG,96.0,1.0,146,120,581,4.17,3.43,3.66,32
5,10,AVG,96.0,1.0,123,113,269,4.16,3.8,2.95,27
5,AVG,AVG,96.0,1.0,115,104,279,3.78,3.41,3.01,30
10,1,AVG,216.0,1.0,96,93,200,3.08,2.98,2.26,47
10,2,AVG,216.0,1.0,100,90,280,3.23,2.89,2.08,33
10,3,AVG,216.0,1.0,96,86,280,3.29,2.93,1.72,38
10,4,AVG,216.0,1.0,90,85,193,3.15,3.0,2.26,46
10,5,AVG,216.0,1.0,129,123,263,3.4,3.25,2.59,44
10,6,AVG,216.0,1.0,96,88,244,3.14,2.85,2.09,43
10,7,AVG,215.8,0.999,107,91,311,3.37,2.83,2.08,56
10,8,AVG,216.0,1.0,89,80,198,3.36,3.0,2.28,49
10,9,AVG,215.7,0.999,112,108,236,3.27,3.16,2.36,44
10,10,AVG,216.0,1.0,84,83,200,3.1,3.06,1.97,39
10,AVG,AVG,215.9,1.0,100,93,240,3.24,3.0,2.17,44
15,1,AVG,335.8,0.999,92,89,174,2.77,2.7,1.96,69
15,2,AVG,335.9,1.0,91,85,222,2.8,2.62,1.84,51
15,3,AVG,336.0,1.0,87,82,226,3.02,2.87,1.63,51
15,4,AVG,336.0,1.0,85,80,196,3.12,2.92,2.13,57
15,5,AVG,336.0,1.0,110,105,223,3.02,2.88,1.98,72
15,6,AVG,336.0,1.0,88,86,183,2.83,2.77,1.91,59
15,7,AVG,335.9,1.0,91,85,224,2.86,2.67,1.78,62
15,8,AVG,335.3,0.998,91,85,250,3.08,2.85,1.68,56
15,9,AVG,336.0,1.0,92,94,189,2.83,2.88,1.97,48
15,10,AVG,335.3,0.998,85,82,203,2.86,2.76,1.84,49
15,AVG,AVG,335.8,0.999,91,87,209,2.92,2.79,1.87,57
20,1,AVG,456.0,1.0,86,86,156,2.62,2.62,1.77,83
20,2,AVG,455.9,1.0,88,86,192,2.55,2.5,1.54,71
20,3,AVG,428.1,0.939,86,82,200,2.86,2.73,1.61,75
20,4,AVG,455.8,0.999,83,81,176,2.85,2.77,1.83,65
20,5,AVG,455.8,0.999,101,95,203,2.82,2.64,1.78,93
20,6,AVG,456.0,1.0,88,87,173,2.73,2.7,1.67,76
20,7,AVG,455.9,1.0,83,80,197,2.81,2.72,1.64,70
20,8,AVG,455.9,1.0,78,70,200,2.6,2.31,1.4,67
20,9,AVG,456.0,1.0,87,90,168,2.61,2.72,1.83,87
20,10,AVG,456.0,1.0,81,77,187,2.67,2.5,1.69,71
20,AVG,AVG,453.1,0.994,86,83,185,2.71,2.62,1.68,76
25,1,AVG,541.3,0.94,84,85,157,2.55,2.6,1.7,84
25,2,AVG,575.8,1.0,77,72,169,2.29,2.14,1.36,84
25,3,AVG,576.0,1.0,83,81,172,2.72,2.67,1.56,84
25,4,AVG,575.7,0.999,83,84,161,2.56,2.57,1.55,91
25,5,AVG,575.9,1.0,86,85,187,2.62,2.56,1.57,94
25,6,AVG,541.8,0.941,87,84,187,2.73,2.61,1.58,88
25,7,AVG,575.9,1.0,83,82,187,2.61,2.56,1.51,89
25,8,AVG,575.6,0.999,71,63,186,2.35,2.08,1.27,75
25,9,AVG,536.9,0.932,85,88,170,2.68,2.77,1.82,83
25,10,AVG,576.0,1.0,81,75,179,2.53,2.35,1.43,82
25,AVG,AVG,565.1,0.981,82,80,176,2.56,2.49,1.53,85
30,1,AVG,696.0,1.0,81,81,161,2.5,2.51,1.64,104
30,2,AVG,695.8,1.0,72,69,149,2.24,2.12,1.3,104
30,3,AVG,695.8,1.0,79,80,175,2.56,2.59,1.47,101
30,4,AVG,695.7,1.0,71,68,144,2.28,2.17,1.33,92
30,5,AVG,695.9,1.0,78,79,164,2.48,2.53,1.42,95
30,6,AVG,696.0,1.0,82,80,170,2.65,2.61,1.5,112
30,7,AVG,696.0,1.0,80,80,170,2.49,2.49,1.43,105
30,8,AVG,696.0,1.0,70,65,164,2.28,2.11,1.27,91
30,9,AVG,695.7,1.0,79,80,186,2.57,2.58,1.71,104
30,10,AVG,696.0,1.0,73,67,173,2.32,2.12,1.29,88
30,AVG,AVG,695.9,1.0,76,75,166,2.44,2.38,1.44,100
35,1,AVG,770.9,0.945,75,77,136,2.36,2.42,1.53,117
