num_nodes,run_number,node,succ,pm_succ,avg,median,max,avg_nlt,median_nlt,max_nlt,sync_ints
15,1,fr2,336,1.0,837,96,20152,27.905,3.2,16.743,64
15,1,mt,334,0.994,353,95,12153,10.287,2.771,7.054,45
15,1,by,336,1.0,787,109,20167,21.184,2.935,15.737,62
15,1,ua,336,1.0,571,85,12110,18.575,2.767,14.263,71
15,1,de1,336,1.0,832,86,16144,27.724,2.867,20.793,70
15,1,hr,336,1.0,551,80,12132,19.278,2.8,13.77,67
15,1,es,334,0.994,804,108,16242,20.457,2.736,13.394,46
15,1,it,336,1.0,735,85,12136,29.414,3.4,18.384,70
15,1,am,336,1.0,438,86,12130,13.947,2.736,10.959,62
15,1,md,335,0.997,809,114,16438,19.533,2.752,13.487,46
15,1,rs,335,0.997,527,87,16167,15.706,2.591,10.545,66
15,1,al,332,0.988,454,96,12149,13.232,2.8,9.073,51
15,1,az,336,1.0,951,86,20138,30.272,2.736,23.785,58
15,1,ee,335,0.997,510,94,12302,12.99,2.393,10.206,49
15,1,ro,336,1.0,612,98,12241,19.053,3.049,12.248,70
15,2,az,325,0.967,855,85,20152,27.836,2.767,21.374,45
15,2,sk,324,0.964,627,76,12095,20.908,2.533,12.545,46
15,2,hu,323,0.961,636,67,12129,26.175,2.759,15.892,56
15,2,pt,325,0.967,1073,117,20355,26.83,2.925,17.887,52
15,2,no,324,0.964,927,106,20200,21.63,2.473,15.45,41
15,2,lt,321,0.955,830,114,20194,22.773,3.129,16.592,50
15,2,hr,323,0.961,387,75,16134,12.901,2.5,7.741,45
15,2,at,319,0.949,634,67,12186,28.632,3.026,15.85,58
15,2,ie,167,0.497,595,109,8276,14.367,2.631,9.92,26
15,2,es,324,0.964,725,110,12173,18.805,2.839,12.089,44
15,2,bg,324,0.964,598,67,12194,19.948,2.233,11.969,46
15,2,dk,323,0.961,532,91,12107,15.86,2.711,10.649,51
15,2,md,324,0.964,1403,103,20199,33.866,2.486,23.383,47
15,2,de2,324,0.964,729,68,16104,34.037,3.197,24.312,56
15,2,ua,322,0.958,669,87,8252,21.286,2.768,13.38,41
15,3,sk,336,1.0,595,77,16178,20.842,2.695,9.925,49
