num_nodes,run_number,node,succ,pm_succ,avg,median,max,avg_nlt,median_nlt,max_nlt,sync_ints
5,1,AVG,95.8,0.998,1550,159,17176,41.3,4.38,34.12,40
5,2,AVG,96.0,1.0,910,82,12446,39.03,3.59,32.53,39
5,3,AVG,96.0,1.0,1045,99,11443,36.63,3.31,26.52,27
5,4,AVG,95.8,0.998,1099,102,14595,38.24,3.49,30.72,28
5,5,AVG,95.4,0.994,1139,94,13768,44.74,3.63,36.31,31
5,6,AVG,95.2,0.992,904,109,10594,34.57,3.96,24.49,31
5,7,AVG,95.2,0.992,1658,164,13067,37.12,3.64,31.48,33
5,8,AVG,95.8,0.998,889,82,9858,35.33,3.3,29.62,29
5,9,AVG,94.8,0.988,1505,125,12993,43.26,3.57,37.62,32
5,10,AVG,95.8,0.998,1241,105,12149,42.18,3.5,29.56,33
5,AVG,AVG,95.6,0.996,1194,112,12809,39.24,3.64,31.3,32
10,1,AVG,215.7,0.999,882,96,14199,28.55,3.09,20.72,42
10,2,AVG,215.7,0.999,920,91,13064,31.02,2.95,19.54,35
10,3,AVG,215.7,0.999,658,88,12703,23.47,3.01,11.81,36
10,4,AVG,215.3,0.997,704,85,14162,24.81,2.99,17.75,32
10,5,AVG,201.7,0.934,1218,124,14526,32.55,3.29,24.9,46
10,6,AVG,215.6,0.998,836,89,14988,28.01,2.89,18.26,39
10,7,AVG,215.6,0.998,1089,99,17461,35.31,3.07,21.49,40
10,8,AVG,215.6,0.998,782,82,13077,29.93,3.07,20.21,47
10,9,AVG,215.6,0.998,957,109,14235,28.25,3.18,20.3,44
10,10,AVG,215.6,0.998,607,81,11760,22.76,2.98,14.47,39
10,AVG,AVG,214.2,0.992,865,94,14018,28.47,3.05,18.95,40
15,1,AVG,335.3,0.998,651,94,14853,19.97,2.84,14.03,60
15,2,AVG,312.8,0.931,748,89,14850,23.06,2.73,15.27,47
15,3,AVG,335.7,0.999,657,83,14325,22.58,2.92,12.21,53
15,4,AVG,335.7,0.999,654,81,15086,24.35,2.98,16.61,52
15,5,AVG,335.1,0.997,888,112,14417,24.6,3.07,15.95,70
15,6,AVG,335.7,0.999,682,90,14628,22.23,2.91,14.92,59
15,7,AVG,335.5,0.998,658,88,13516,21.18,2.77,13.26,61
15,8,AVG,335.3,0.998,682,85,13686,22.92,2.87,12.49,56
15,9,AVG,335.0,0.997,693,98,12984,21.45,3.02,14.97,62
15,10,AVG,335.4,0.998,738,84,15123,25.46,2.82,16.47,57
15,AVG,AVG,333.2,0.992,705,90,14347,22.78,2.89,14.62,58
20,1,AVG,455.4,0.999,697,93,14388,21.38,2.84,14.44,78
20,2,AVG,455.6,0.999,703,94,16211,20.94,2.73,12.51,67
20,3,AVG,455.2,0.998,692,87,14814,23.03,2.87,12.81,73
20,4,AVG,455.2,0.998,664,85,14574,23.13,2.92,14.74,66
20,5,AVG,455.1,0.998,758,104,15589,21.38,2.9,13.47,79
20,6,AVG,432.1,0.9,710,91,14975,22.7,2.9,13.58,68
20,7,AVG,455.4,0.999,661,85,16223,22.46,2.86,12.92,72
20,8,AVG,455.7,0.999,664,78,14581,21.98,2.58,11.92,66
20,9,AVG,454.9,0.997,793,98,15988,23.89,2.94,16.72,70
20,10,AVG,455.1,0.998,661,84,15980,22.17,2.75,14.01,61
20,AVG,AVG,453.0,0.993,700,90,15332,22.31,2.83,13.71,70
25,1,AVG,575.6,0.999,617,93,15864,18.72,2.82,12.5,89
25,2,AVG,575.0,0.998,617,83,15545,18.87,2.49,11.15,88
25,3,AVG,575.5,0.999,655,87,15218,21.76,2.85,12.47,91
25,4,AVG,527.4,0.842,713,88,14455,23.0,2.81,15.3,85
25,5,AVG,575.1,0.998,609,89,14242,18.52,2.68,11.05,97
25,6,AVG,574.9,0.998,627,89,15001,19.53,2.77,11.33,79
25,7,AVG,574.6,0.998,608,86,15262,19.43,2.69,11.03,87
25,8,AVG,575.6,0.999,600,69,14752,20.38,2.27,10.84,75
25,9,AVG,575.3,0.999,614,90,15866,19.39,2.84,13.14,89
25,10,AVG,574.4,0.997,639,81,15860,20.33,2.54,11.42,81
25,AVG,AVG,570.3,0.99,630,86,15206,19.99,2.68,12.02,86
30,1,AVG,695.0,0.999,531,87,15110,16.39,2.69,10.76,111
30,2,AVG,695.4,0.999,527,80,15399,16.89,2.45,9.69,99
30,3,AVG,694.5,0.998,600,85,16048,19.49,2.74,11.11,103
30,4,AVG,671.2,0.964,570,73,14960,18.74,2.35,10.77,82
30,5,AVG,654.4,0.94,567,83,15109,18.09,2.65,10.35,93
30,6,AVG,659.8,0.948,619,86,15642,20.15,2.79,11.38,108
30,7,AVG,694.9,0.998,592,85,15252,18.81,2.65,10.71,94
30,8,AVG,654.9,0.941,561,76,14830,18.72,2.48,10.27,85
30,9,AVG,671.9,0.933,538,84,15342,17.44,2.7,11.59,101
30,10,AVG,672.6,0.966,582,74,15651,18.85,2.33,10.4,93
30,AVG,AVG,676.5,0.972,569,81,15334,18.36,2.58,10.7,97
35,1,AVG,815.0,0.999,506,84,15156,15.92,2.64,10.29,108
35,2,AVG,814.8,0.999,513,73,15850,16.24,2.29,9.27,113
35,3,AVG,720.8,0.883,541,84,15605,17.15,2.64,9.92,109
35,4,AVG,792.6,0.971,486,73,16067,16.05,2.36,9.28,105
35,5,AVG,815.3,0.999,457,69,15845,14.81,2.19,8.19,106
35,6,AVG,815.0,0.999,526,83,14682,17.01,2.67,9.75,126
35,7,AVG,779.8,0.956,548,74,15035,17.66,2.34,9.92,103
35,8,AVG,815.3,0.999,532,73,14931,17.26,2.31,9.68,107
35,9,AVG,815.0,0.999,528,84,15827,16.95,2.71,10.97,123
35,10,AVG,799.2,0.979,563,74,16966,17.43,2.31,10.04,105
35,AVG,AVG,798.3,0.978,520,77,15596,16.65,2.45,9.73,110
40,1,AVG,924.4,0.988,460,82,16465,14.52,2.58,8.35,137
40,2,AVG,934.9,0.999,487,68,15749,15.89,2.17,8.94,117
40,3,AVG,841.0,0.898,505,72,15011,16.14,2.28,9.14,120
40,4,AVG,935.2,0.999,447,71,14879,14.53,2.28,8.13,118
40,5,AVG,897.4,0.959,480,68,15474,15.65,2.17,8.74,110
40,6,AVG,934.1,0.998,464,68,15675,15.24,2.2,8.6,112
40,7,AVG,866.3,0.926,518,74,15665,16.43,2.34,9.39,120
40,8,AVG,935.1,0.999,503,70,15866,16.35,2.23,9.15,119
40,9,AVG,934.6,0.999,521,81,15757,16.9,2.65,10.8,130
40,10,AVG,934.5,0.998,516,68,15575,16.4,2.18,9.27,114
40,AVG,AVG,913.8,0.976,490,72,15612,15.81,2.31,9.05,120
